#,Clubs,Matchs,Total ballons joués,Plaquages défensifs réussis,Plaquages offensifs réussis,Plaquages réussis (%),Plaquages manqués,Plaquages manqués (%),Plaquages totaux,Ballons joués au pied,Ballons joués au pied (%),Ballons joués à la main,Ballons joués à la main (%),Total passes,Total passes turnover
1,Montpellier Hérault Rugby,27,6959,3816,368,87,535,11,4785,559,8,6400,92,3699,373
2,Stade Français Paris,26,5845,3589,528,87,490,10,4719,577,10,5268,90,2990,347
3,Stade Toulousain,28,7517,3768,421,87,516,11,4821,541,7,6976,93,4019,417
4,SU Agen,26,6559,4100,348,87,584,11,5138,524,8,6035,92,3329,345
5,Castres Olympique,26,6194,3291,266,87,479,12,4100,605,10,5589,90,3110,341
6,Union Bordeaux-Bègles,26,5950,4000,463,87,575,11,5141,466,8,5484,92,3131,344
7,Stade Rochelais,28,7111,3854,359,87,504,10,4832,446,6,6665,94,3901,431
8,Racing 92,27,6817,3298,267,87,467,11,4099,444,7,6373,93,3737,428
9,ASM Clermont,28,6870,3723,389,86,569,12,4783,461,7,6409,93,3796,416
10,RC Toulon,26,6318,3353,453,86,523,12,4414,398,6,5920,94,3407,393
11,FC Grenoble Rugby,26,7316,3541,358,86,548,12,4544,460,6,6856,94,3875,345
12,LOU Rugby,28,7247,3597,383,85,560,12,4656,582,8,6665,92,3948,413
13,USA Perpignan,26,6746,3120,286,84,551,14,4031,405,6,6341,94,3622,354
14,Section Paloise,26,6330,3614,338,84,633,14,4680,464,7,5866,93,3455,379
