"Clubs","Rang","Pts","J.","G.","N.","P.","Bonus","Pts.M","Pts.E","Diff.","#","Matchs","Total ballons joués","Plaquages défensifs réussis","Plaquages offensifs réussis","Plaquages réussis (%)","Plaquages manqués","Plaquages manqués (%)","Plaquages totaux","Ballons joués au pied","Ballons joués au pied (%)","Ballons joués à la main","Ballons joués à la main (%)","Total passes","Total passes turnover","Saison"
"ASM Clermont",2,75,26,16,1,9,9,630,464,166,10,28,7210,3308,85,87,487,13,3880,551,8,6659,92,3898,334,"2015"
"Aviron Bayonnais",13,52,26,10,1,15,10,522,548,0,1,26,5236,3799,40,90,423,10,4262,556,11,4680,89,2616,285,"2015"
"CA Brive",10,53,26,12,0,14,5,502,619,0,9,26,5495,3297,29,87,484,13,3810,491,9,5004,91,2703,309,"2015"
"Castres Olympique",12,52,26,11,0,15,8,509,627,0,5,26,5334,3221,47,89,389,11,3657,543,10,4791,90,2750,271,"2015"
"FC Grenoble Rugby",11,53,26,11,0,15,9,626,735,0,11,26,6009,3415,60,87,513,13,3988,531,9,5478,91,3306,322,"2015"
"LOU Rugby",14,41,26,8,1,17,7,469,630,0,14,26,5822,3065,39,87,446,13,3550,567,10,5255,90,2970,306,"2015"
"Montpellier Hérault Rugby",8,55,26,11,2,13,7,537,516,21,6,26,5623,3054,62,89,380,11,3496,504,9,5119,91,2696,332,"2015"
"Oyonnax Rugby",6,62,26,14,0,12,6,514,507,7,12,27,5439,3487,46,87,514,13,4047,627,12,4812,88,2550,338,"2015"
"Racing 92",5,65,26,13,3,10,7,551,497,54,8,27,6235,3405,27,88,452,12,3884,520,8,5715,92,3303,327,"2015"
"RC Toulon",1,76,26,16,0,10,12,740,525,215,3,27,6813,3369,73,89,447,11,3889,482,7,6331,93,3755,347,"2015"
"Stade Français Paris",4,70,26,15,1,10,8,591,576,15,7,29,6112,3328,40,89,427,11,3795,520,9,5592,91,3243,372,"2015"
"Stade Rochelais",9,54,26,10,5,11,4,520,659,0,4,26,5565,3115,57,89,411,11,3583,543,10,5022,90,2791,292,"2015"
"Stade Toulousain",3,70,26,16,0,10,6,573,504,69,2,28,6451,3444,82,90,375,10,3901,491,8,5960,92,3480,328,"2015"
"Union Bordeaux-Bègles",7,61,26,12,0,14,13,701,578,123,13,26,5583,3176,55,87,487,13,3718,541,10,5042,90,3041,346,"2015"
