Rang,Equipe,Pts,J.,G.,N.,P.,Bonus,Pts.M,Pts.E,Diff.
1,Stade Toulousain,98,26,21,2,3,10,820,508,312
2,ASM Clermont,83,27,16,3,7,13,828,535,293
3,LOU Rugby,78,26,17,1,8,8,683,525,158
4,Racing 92,74,26,15,1,10,12,750,563,187
5,Stade Rochelais,71,26,16,0,10,7,719,616,103
6,Montpellier Hérault Rugby,70,26,14,1,11,12,659,546,113
7,Castres Olympique,69,26,15,0,11,9,508,499,9
8,Stade Français Paris,64,26,14,0,12,8,583,579,4
9,RC Toulon,57,26,12,0,14,9,572,542,30
10,Union Bordeaux-Bègles,57,26,12,1,13,7,618,711,-93
11,Section Paloise,43,26,9,0,17,7,501,763,-262
12,SU Agen,38,26,8,1,17,4,431,654,-223
13,FC Grenoble Rugby,29,26,5,2,19,5,448,691,-243
14,USA Perpignan,12,26,2,0,24,4,433,821,-388
