Rang,Equipe,Pts,J.,G.,N.,P.,Bonus,Pts.M,Pts.E,Diff.
1,RC Toulon,76,26,16,0,10,12,740,525,215
2,ASM Clermont,75,26,16,1,9,9,630,464,166
3,Stade Toulousain,70,26,16,0,10,6,573,504,69
4,Stade Français Paris,70,26,15,1,10,8,591,576,15
5,Racing 92,65,26,13,3,10,7,551,497,54
6,Oyonnax Rugby,62,26,14,0,12,6,514,507,7
7,Union Bordeaux-Bègles,61,26,12,0,14,13,701,578,123
8,Montpellier Hérault Rugby,55,26,11,2,13,7,537,516,21
9,Stade Rochelais,54,26,10,5,11,4,520,659,0
10,CA Brive,53,26,12,0,14,5,502,619,0
11,FC Grenoble Rugby,53,26,11,0,15,9,626,735,0
12,Castres Olympique,52,26,11,0,15,8,509,627,0
13,Aviron Bayonnais,52,26,10,1,15,10,522,548,0
14,LOU Rugby,41,26,8,1,17,7,469,630,0
