#,Clubs,Matchs,Total ballons joués,Plaquages défensifs réussis,Plaquages offensifs réussis,Plaquages réussis (%),Plaquages manqués,Plaquages manqués (%),Plaquages totaux,Ballons joués au pied,Ballons joués au pied (%),Ballons joués à la main,Ballons joués à la main (%),Total passes,Total passes turnover
1,Aviron Bayonnais,26,5236,3799,40,90,423,10,4262,556,11,4680,89,2616,285
2,Stade Toulousain,28,6451,3444,82,90,375,10,3901,491,8,5960,92,3480,328
3,RC Toulon,27,6813,3369,73,89,447,11,3889,482,7,6331,93,3755,347
4,Stade Rochelais,26,5565,3115,57,89,411,11,3583,543,10,5022,90,2791,292
5,Castres Olympique,26,5334,3221,47,89,389,11,3657,543,10,4791,90,2750,271
6,Montpellier Hérault Rugby,26,5623,3054,62,89,380,11,3496,504,9,5119,91,2696,332
7,Stade Français Paris,29,6112,3328,40,89,427,11,3795,520,9,5592,91,3243,372
8,Racing 92,27,6235,3405,27,88,452,12,3884,520,8,5715,92,3303,327
9,CA Brive,26,5495,3297,29,87,484,13,3810,491,9,5004,91,2703,309
10,ASM Clermont,28,7210,3308,85,87,487,13,3880,551,8,6659,92,3898,334
11,FC Grenoble Rugby,26,6009,3415,60,87,513,13,3988,531,9,5478,91,3306,322
12,Oyonnax Rugby,27,5439,3487,46,87,514,13,4047,627,12,4812,88,2550,338
13,Union Bordeaux-Bègles,26,5583,3176,55,87,487,13,3718,541,10,5042,90,3041,346
14,LOU Rugby,26,5822,3065,39,87,446,13,3550,567,10,5255,90,2970,306
