#,Clubs,Matchs,Total ballons joués,Plaquages défensifs réussis,Plaquages offensifs réussis,Plaquages réussis (%),Plaquages manqués,Plaquages manqués (%),Plaquages totaux,Ballons joués au pied,Ballons joués au pied (%),Ballons joués à la main,Ballons joués à la main (%),Total passes,Total passes turnover
1,Montpellier Hérault Rugby,27,4996,3325,120,89,372,10,3885,562,11,4434,89,2469,292
2,RC Toulon,27,6450,2933,143,88,326,9,3480,499,8,5951,92,3755,346
3,Stade Français Paris,25,5389,3191,144,88,379,10,3791,485,9,4904,91,3025,317
4,Racing 92,28,6625,3359,169,88,427,11,4015,485,7,6140,93,3672,338
5,Union Bordeaux-Bègles,25,5445,3188,132,88,400,11,3785,547,10,4898,90,3038,299
6,Castres Olympique,26,4996,3410,161,88,438,11,4069,458,9,4538,91,2657,293
7,Stade Rochelais,25,5264,2689,141,87,327,10,3246,474,9,4790,91,2727,282
8,Section Paloise,25,5309,3442,93,87,457,11,4059,478,9,4831,91,3033,265
9,SU Agen,25,5436,3377,111,87,461,11,4024,382,7,5054,93,2770,318
10,Stade Toulousain,26,6454,2630,147,87,295,9,3181,463,7,5991,93,3691,312
11,CA Brive,25,4704,2779,145,87,389,12,3367,456,10,4248,90,2343,306
12,FC Grenoble Rugby,25,5750,3097,185,86,463,12,3807,413,7,5337,93,3239,295
13,ASM Clermont,26,6493,3345,141,86,488,12,4044,533,8,5960,92,3702,328
14,Oyonnax Rugby,25,5193,3277,121,86,484,12,3956,516,10,4677,90,2788,315
