"Clubs","Rang","Pts","J.","G.","N.","P.","Bonus","Pts.M","Pts.E","Diff.","#","Matchs","Total ballons joués","Plaquages défensifs réussis","Plaquages offensifs réussis","Plaquages réussis (%)","Plaquages manqués","Plaquages manqués (%)","Plaquages totaux","Ballons joués au pied","Ballons joués au pied (%)","Ballons joués à la main","Ballons joués à la main (%)","Total passes","Total passes turnover","Saison"
"ASM Clermont",2,83,27,16,3,7,13,828,535,293,9,28,6870,3723,389,86,569,12,4783,461,7,6409,93,3796,416,"2019"
"Castres Olympique",7,69,26,15,0,11,9,508,499,9,5,26,6194,3291,266,87,479,12,4100,605,10,5589,90,3110,341,"2019"
"FC Grenoble Rugby",13,29,26,5,2,19,5,448,691,-243,11,26,7316,3541,358,86,548,12,4544,460,6,6856,94,3875,345,"2019"
"LOU Rugby",3,78,26,17,1,8,8,683,525,158,12,28,7247,3597,383,85,560,12,4656,582,8,6665,92,3948,413,"2019"
"Montpellier Hérault Rugby",6,70,26,14,1,11,12,659,546,113,1,27,6959,3816,368,87,535,11,4785,559,8,6400,92,3699,373,"2019"
"Racing 92",4,74,26,15,1,10,12,750,563,187,8,27,6817,3298,267,87,467,11,4099,444,7,6373,93,3737,428,"2019"
"RC Toulon",9,57,26,12,0,14,9,572,542,30,10,26,6318,3353,453,86,523,12,4414,398,6,5920,94,3407,393,"2019"
"Section Paloise",11,43,26,9,0,17,7,501,763,-262,14,26,6330,3614,338,84,633,14,4680,464,7,5866,93,3455,379,"2019"
"Stade Français Paris",8,64,26,14,0,12,8,583,579,4,2,26,5845,3589,528,87,490,10,4719,577,10,5268,90,2990,347,"2019"
"Stade Rochelais",5,71,26,16,0,10,7,719,616,103,7,28,7111,3854,359,87,504,10,4832,446,6,6665,94,3901,431,"2019"
"Stade Toulousain",1,98,26,21,2,3,10,820,508,312,3,28,7517,3768,421,87,516,11,4821,541,7,6976,93,4019,417,"2019"
"SU Agen",12,38,26,8,1,17,4,431,654,-223,4,26,6559,4100,348,87,584,11,5138,524,8,6035,92,3329,345,"2019"
"Union Bordeaux-Bègles",10,57,26,12,1,13,7,618,711,-93,6,26,5950,4000,463,87,575,11,5141,466,8,5484,92,3131,344,"2019"
"USA Perpignan",14,12,26,2,0,24,4,433,821,-388,13,26,6746,3120,286,84,551,14,4031,405,6,6341,94,3622,354,"2019"
