"Clubs","Rang","Pts","J.","G.","N.","P.","Bonus","Pts.M","Pts.E","Diff.","#","Matchs","Total ballons joués","Plaquages défensifs réussis","Plaquages offensifs réussis","Plaquages réussis (%)","Plaquages manqués","Plaquages manqués (%)","Plaquages totaux","Ballons joués au pied","Ballons joués au pied (%)","Ballons joués à la main","Ballons joués à la main (%)","Total passes","Total passes turnover","Saison"
"ASM Clermont",2,78,26,15,3,8,12,800,562,238,12,28,6379,3666,257,84,619,13,4649,508,8,5871,92,3568,334,"2017"
"Aviron Bayonnais",14,30,26,6,3,17,0,466,905,-439,13,25,5459,3137,115,84,520,13,3867,415,8,5044,92,3031,266,"2017"
"CA Brive",8,58,26,13,1,12,4,577,634,-57,14,26,5303,2941,168,84,530,14,3708,499,9,4804,91,2723,230,"2017"
"Castres Olympique",5,63,26,13,1,12,9,667,509,158,9,26,5680,3358,185,86,516,12,4143,497,9,5183,91,2980,323,"2017"
"FC Grenoble Rugby",13,38,26,7,1,18,8,611,852,-241,11,26,6082,3548,140,86,526,12,4294,410,7,5672,93,3571,258,"2017"
"LOU Rugby",10,55,26,11,2,13,7,573,632,-59,8,25,5359,3095,160,87,423,11,3738,444,8,4915,92,2859,227,"2017"
"Montpellier Hérault Rugby",3,76,26,16,0,10,12,750,564,186,3,26,5309,3495,143,88,417,10,4117,507,10,4802,90,2762,289,"2017"
"Racing 92",6,62,26,14,1,11,4,586,616,-30,5,26,6250,3448,128,87,469,11,4112,462,7,5788,93,3387,264,"2017"
"RC Toulon",4,69,26,14,2,10,9,674,511,163,4,29,7205,3604,236,87,473,11,4391,562,8,6643,92,3954,305,"2017"
"Section Paloise",9,57,26,12,1,13,7,604,701,-97,10,25,6340,3065,117,86,461,12,3692,377,6,5963,94,3700,246,"2017"
"Stade Français Paris",7,59,26,12,1,13,9,643,638,5,1,25,5599,3390,237,89,387,9,4090,513,9,5086,91,3116,232,"2017"
"Stade Rochelais",1,85,26,17,3,6,11,707,498,209,6,27,6692,3148,199,87,421,11,3838,456,7,6236,93,3615,241,"2017"
"Stade Toulousain",12,53,26,11,0,15,9,537,561,-24,7,26,6781,2801,148,87,348,10,3373,453,7,6328,93,3848,272,"2017"
"Union Bordeaux-Bègles",11,54,26,11,1,14,8,569,581,-12,2,26,6254,3821,124,89,438,10,4455,453,7,5801,93,3497,253,"2017"
