#,Clubs,Matchs,Total ballons joués,Plaquages défensifs réussis,Plaquages offensifs réussis,Plaquages réussis (%),Plaquages manqués,Plaquages manqués (%),Plaquages totaux,Ballons joués au pied,Ballons joués au pied (%),Ballons joués à la main,Ballons joués à la main (%),Total passes,Total passes turnover
1,Stade Français Paris,12,2821,1578,202,89,176,9,1991,197,7,2624,93,1510,164
2,SU Agen,12,2868,1761,171,88,222,10,2195,238,8,2630,92,1534,163
3,Montpellier Hérault Rugby,12,2728,1448,172,88,183,10,1832,179,7,2549,93,1507,173
4,Union Bordeaux-Bègles,12,3212,1487,167,88,196,10,1886,243,8,2969,92,1679,159
5,Racing 92,12,3198,1563,210,88,207,10,2022,266,8,2932,92,1688,154
6,Stade Toulousain,12,2888,1380,169,88,175,10,1758,251,9,2637,91,1492,162
7,Castres Olympique,12,2664,1550,142,87,230,12,1951,238,9,2426,91,1352,159
8,LOU Rugby,12,3105,1400,143,87,175,10,1765,230,7,2875,93,1696,186
9,RC Toulon,12,2646,1502,194,87,212,11,1955,224,8,2422,92,1387,167
10,Section Paloise,12,2983,1615,137,87,207,10,2007,212,7,2771,93,1557,180
11,Aviron Bayonnais,12,2795,1524,74,87,191,10,1844,233,8,2562,92,1363,163
12,Stade Rochelais,12,3137,1269,188,86,179,11,1687,219,7,2918,93,1772,177
13,CA Brive,12,2674,1631,145,86,248,12,2068,226,8,2448,92,1309,165
14,ASM Clermont,12,2938,1241,156,85,202,12,1637,214,7,2724,93,1532,175
