Rang,Equipe,Pts,J.,G.,N.,P.,Bonus,Pts.M,Pts.E,Diff.
1,Union Bordeaux-Bègles,42,12,9,1,2,4,345,227,118
2,LOU Rugby,40,12,9,0,3,4,359,193,166
3,RC Toulon,31,12,6,2,4,3,276,252,24
4,Stade Toulousain,30,12,6,1,5,4,266,230,36
5,Stade Rochelais,28,12,6,0,6,4,254,252,2
6,ASM Clermont,28,12,7,0,5,0,298,303,-5
7,Racing 92,28,12,5,1,6,6,298,251,47
8,Montpellier Hérault Rugby,27,12,4,3,5,5,292,256,36
9,CA Brive,24,12,5,1,6,2,242,304,-62
10,Section Paloise,23,12,5,0,7,3,240,273,-33
11,Aviron Bayonnais,23,12,5,1,6,1,225,306,-81
12,Castres Olympique,23,12,5,0,7,3,296,324,-28
13,SU Agen,17,12,3,1,8,3,219,288,-69
14,Stade Français Paris,16,12,3,1,8,2,223,374,-151
