Rang,Equipe,Pts,J.,G.,N.,P.,Bonus,Pts.M,Pts.E,Diff.
1,ASM Clermont,88,26,18,1,7,14,735,431,304
2,RC Toulon,82,26,16,0,10,18,764,446,318
3,Montpellier Hérault Rugby,81,26,18,0,8,9,723,569,154
4,Racing 92,81,26,18,1,7,7,614,522,92
5,Stade Toulousain,79,26,16,2,8,11,680,393,287
6,Castres Olympique,71,26,15,0,11,11,650,496,154
7,Union Bordeaux-Bègles,67,26,14,2,10,7,552,503,49
8,CA Brive,62,26,13,1,12,8,540,545,-5
9,Stade Rochelais,54,26,11,0,15,10,553,656,-103
10,FC Grenoble Rugby,47,26,10,0,16,7,605,779,-174
11,Section Paloise,46,26,10,1,15,4,420,675,-255
12,Stade Français Paris,41,26,9,0,17,5,543,631,-88
13,SU Agen,26,26,5,0,21,6,531,846,-315
14,Oyonnax Rugby,24,26,5,0,21,4,429,847,-418
